"","CommonName","Year","TotalReportedCatch","TotalTACC","ExportCountry","TotalExportWeight","TotalTotalPrice","TotalAvgUnitPrice"
"124","Barracouta","2022",21740901,33402461,"South Africa",7227461,18176334,2.5106293288888
"125","Barracouta","2022",21740901,33402461,"Taiwan",21,67,3.19
"126","Barracouta","2022",21740901,33402461,"Vietnam",3415,52389,15.34
"127","Barracouta",NA,0,NA,NA,NA,NA,NA
"128","Billfish","2018",0,NA,NA,NA,NA,NA
"129","Billfish","2019",0,NA,NA,NA,NA,NA
"130","Billfish","2020",0,NA,NA,NA,NA,NA
"131","Billfish","2021",0,NA,NA,NA,NA,NA
"132","Billfish","2022",250,NA,NA,NA,NA,NA
"133","Billfish",NA,0,NA,NA,NA,NA,NA
"134","Bluenose","2018",656384,630000,"Australia",314830,3760104,11.946268144713
"135","Bluenose","2018",656384,630000,"Canada",173,3695,21.3595375722543
"136","Bluenose","2018",656384,630000,"Cook Islands",75,1729,23.05
"137","Bluenose","2018",656384,630000,"Cyprus",82,85,1.04
"138","Bluenose","2018",656384,630000,"Malaysia",12,185,15.42
"139","Bluenose","2018",656384,630000,"Portugal",1493,18263,12.23
"140","Bluenose","2018",656384,630000,"Singapore",52,763,14.6767307692308
"141","Bluenose","2018",656384,630000,"Switzerland",12,320,26.67
"142","Bluenose","2018",656384,630000,"United States",100499,1696397,16.8773604712485
"143","Bluenose","2018",656384,630000,"Vietnam",6541,39994,6.11473780767467
"144","Bluenose","2019",671313,630000,"Australia",291506,3574405,12.2617727936989
"145","Bluenose","2019",671313,630000,"Canada",35,814,23.26
"146","Bluenose","2019",671313,630000,"Cook Islands",55,1267,23.04
"147","Bluenose","2019",671313,630000,"Germany",5,78,15.6
"148","Bluenose","2019",671313,630000,"Hong Kong",13,405,31.15
"149","Bluenose","2019",671313,630000,"Portugal",2909,23347,8.0289377793056
"150","Bluenose","2019",671313,630000,"Singapore",36,638,17.72
"151","Bluenose","2019",671313,630000,"Spain",12250,116093,9.48
"152","Bluenose","2019",671313,630000,"Switzerland",50,1146,22.9218
"153","Bluenose","2019",671313,630000,"United Arab Emirates",11,98,8.91
"154","Bluenose","2019",671313,630000,"United States",104282,1922194,18.4319033006655
"155","Bluenose","2019",671313,630000,"Vietnam",1407,8819,6.27
"156","Bluenose","2020",616271,630000,"Australia",275334,3365150,12.2258449011019
"157","Bluenose","2020",616271,630000,"Canada",43,682,15.86
"158","Bluenose","2020",616271,630000,"Denmark",5,70,14
"159","Bluenose","2020",616271,630000,"Germany",17,254,14.94
"160","Bluenose","2020",616271,630000,"Hong Kong",2,40,20
"161","Bluenose","2020",616271,630000,"Japan",130,2075,15.96
"162","Bluenose","2020",616271,630000,"Portugal",4430,37734,8.52
"163","Bluenose","2020",616271,630000,"Singapore",6,82,13.67
"164","Bluenose","2020",616271,630000,"Switzerland",74,1452,19.6210810810811
"165","Bluenose","2020",616271,630000,"Ukraine",200,3785,18.93
"166","Bluenose","2020",616271,630000,"United Kingdom",5,76,15.2
"167","Bluenose","2020",616271,630000,"United States",31414,586626,18.6736066721844
"168","Bluenose","2020",616271,630000,"Vietnam",8518,54826,6.43803240197229
"169","Bluenose","2021",527580,630000,"Australia",307969,3968390,12.8865712458072
"170","Bluenose","2021",527580,630000,"Canada",0,0,NA
"171","Bluenose","2021",527580,630000,"Singapore",367,6596,17.977029972752
"172","Bluenose","2021",527580,630000,"Switzerland",68,1367,20.1047058823529
"173","Bluenose","2021",527580,630000,"United States",26610,439945,16.5311367906802
"174","Bluenose","2022",474940,630000,"Australia",274301,3940893,14.3652178446305
"175","Bluenose","2022",474940,630000,"Canada",10,160,16
"176","Bluenose","2022",474940,630000,"Papua New Guinea",90,360,4
"177","Bluenose","2022",474940,630000,"Singapore",670,13909,20.7561791044776
"178","Bluenose","2022",474940,630000,"Switzerland",247,3774,15.28
"179","Bluenose","2022",474940,630000,"United States",22815,433287,18.9895424063116
"180","Bully Fish",NA,0,NA,NA,NA,NA,NA
"181","Butterfish","2018",105313,162000,NA,NA,NA,NA
"182","Butterfish","2019",110807,162000,NA,NA,NA,NA
"183","Butterfish","2020",104709,162000,NA,NA,NA,NA
"184","Butterfish","2021",87951,162000,NA,NA,NA,NA
"185","Butterfish","2022",76801,162000,NA,NA,NA,NA
"186","Butterfish",NA,0,NA,NA,NA,NA,NA
"187","Cardinal Fish","2018",401007,1968000,"Australia",360,787,2.19
"188","Cardinal Fish","2018",401007,1968000,"Belarus",224,710,3.17
"189","Cardinal Fish","2018",401007,1968000,"China",56982,200640,3.52097013091854
"190","Cardinal Fish","2018",401007,1968000,"Japan",96030,495220,5.15901384983859
"191","Cardinal Fish","2018",401007,1968000,"Ukraine",512,1304,2.55
"192","Cardinal Fish","2018",401007,1968000,"Vietnam",1813,7852,4.33204633204633
"193","Cardinal Fish","2019",696245,1968000,"Bulgaria",1610,4379,2.72
"194","Cardinal Fish","2019",696245,1968000,"China",49983,179220,3.5828883820499
"195","Cardinal Fish","2019",696245,1968000,"Fiji",1,39,39
"196","Cardinal Fish","2019",696245,1968000,"Georgia",71,146,2.06
"197","Cardinal Fish","2019",696245,1968000,"Japan",82845,494882,5.97402498642042
"198","Cardinal Fish","2019",696245,1968000,"Portugal",18448,55111,2.99
"199","Cardinal Fish","2019",696245,1968000,"South Africa",300,1229,4.1
"200","Cardinal Fish","2019",696245,1968000,"Vietnam",58257,266485,4.57
"201","Cardinal Fish","2020",466838,1968000,"Bulgaria",150,389,2.59
"202","Cardinal Fish","2020",466838,1968000,"China",18518,85992,4.64782049897397
"203","Cardinal Fish","2020",466838,1968000,"Georgia",757,2398,3.17
"204","Cardinal Fish","2020",466838,1968000,"Japan",117605,821343,6.98748097444837
"205","Cardinal Fish","2020",466838,1968000,"Singapore",140,1297,9.26571428571429
"206","Cardinal Fish","2020",466838,1968000,"Vietnam",26270,131218,4.99
"207","Cardinal Fish","2021",548023,1979000,"Australia",10,54,5.4
"208","Cardinal Fish","2021",548023,1979000,"Bulgaria",5258,14942,2.8426435907189
"209","Cardinal Fish","2021",548023,1979000,"Japan",60455,338417,5.6
"210","Cardinal Fish","2021",548023,1979000,"Portugal",33995,134577,3.96
"211","Cardinal Fish","2021",548023,1979000,"Singapore",100,1158,11.58
"212","Cardinal Fish","2021",548023,1979000,"Ukraine",3265,13292,4.07183767228178
"213","Cardinal Fish","2021",548023,1979000,"Vietnam",15567,40548,2.6
"214","Cardinal Fish","2022",211007,939000,"Bulgaria",2592,7891,3.04
"215","Cardinal Fish","2022",211007,939000,"China",51250,181623,3.54
"216","Cardinal Fish","2022",211007,939000,"Georgia",4175,17134,4.1
"217","Cardinal Fish","2022",211007,939000,"Japan",51475,183080,3.55937348227295
"218","Cardinal Fish","2022",211007,939000,"United States",1,73,73
"219","Cardinal Fish","2022",211007,939000,"Vietnam",49796,123415,2.48064824483894
"220","Cardinal Fish",NA,0,NA,NA,NA,NA,NA
"221","Carp Fish","2018",7564,NA,"Australia",70,516,7.37
"222","Carp Fish","2018",7564,NA,"Belgium",50,784,15.68
"223","Carp Fish","2018",7564,NA,"Cook Islands",500,3173,6.35
"224","Carp Fish","2018",7564,NA,"French Polynesia",4160,24064,5.78
"225","Carp Fish","2018",7564,NA,"New Caledonia",7566,50295,6.65
"226","Carp Fish","2018",7564,NA,"Palau",150,891,5.94
"227","Carp Fish","2018",7564,NA,"Papua New Guinea",230,1409,6.13
"228","Carp Fish","2018",7564,NA,"South Korea",458,7280,15.9
"229","Carp Fish","2018",7564,NA,"Wallis & Futuna",1690,12055,7.13
"230","Carp Fish","2019",12410,NA,"Australia",8860,27656,3.12
"231","Carp Fish","2019",12410,NA,"French Polynesia",660,3818,5.78
"232","Carp Fish","2019",12410,NA,"Hong Kong",1,4,4
"233","Carp Fish","2019",12410,NA,"New Caledonia",11999,98590,8.22
"234","Carp Fish","2019",12410,NA,"Tonga",2752,1431,0.52280523255814
"235","Carp Fish","2020",9259,NA,"Australia",1000,9599,9.6
"236","Carp Fish","2020",9259,NA,"French Polynesia",14,112,8
"237","Carp Fish","2020",9259,NA,"New Caledonia",8015,64281,8.02
"238","Carp Fish","2020",9259,NA,"Samoa",90,2000,22.22
"239","Carp Fish","2020",9259,NA,"Tonga",630,974,1.54920634920635
"240","Carp Fish","2021",8793,NA,"New Caledonia",7700,61755,8.02
"241","Carp Fish","2021",8793,NA,"Tonga",600,100,0.17
"242","Carp Fish","2022",5161,NA,"New Caledonia",11095,97225,8.76
"243","Carp Fish","2022",5161,NA,"Samoa",150,969,6.46
"244","Carp Fish",NA,0,NA,NA,NA,NA,NA
"245","Catfish","2018",16793,NA,"Cook Islands",675,3419,5.06851851851852
"246","Catfish","2018",16793,NA,"Fiji",4950,26190,5.29
"247","Catfish","2018",16793,NA,"French Polynesia",3210,16306,5.08
"248","Catfish","2018",16793,NA,"Marshall Islands",50,261,5.22
"249","Catfish","2018",16793,NA,"Mauritius",2000,8851,4.43
"250","Catfish","2018",16793,NA,"New Caledonia",7990,53117,6.65
"251","Catfish","2018",16793,NA,"Papua New Guinea",28840,144856,5.02
"252","Catfish","2018",16793,NA,"Samoa",1206,7737,6.41734660033167
"253","Catfish","2018",16793,NA,"Solomon Islands",500,2563,5.13
"254","Catfish","2018",16793,NA,"Vanuatu",4686,33660,7.18386256935553
"255","Catfish","2018",16793,NA,"Wallis & Futuna",260,1400,5.38
"256","Catfish","2019",13864,NA,"Cook Islands",430,2556,5.9453488372093
"257","Catfish","2019",13864,NA,"Fiji",665,3661,5.51
"258","Catfish","2019",13864,NA,"French Polynesia",3799,21494,5.66
"259","Catfish","2019",13864,NA,"Marshall Islands",25,111,4.44
"260","Catfish","2019",13864,NA,"New Caledonia",2380,16900,7.1
"261","Catfish","2019",13864,NA,"Papua New Guinea",4840,28297,5.85
"262","Catfish","2019",13864,NA,"Samoa",250,1253,5.01
"263","Catfish","2019",13864,NA,"Tonga",60,312,5.2
"264","Catfish","2019",13864,NA,"Vanuatu",4380,26259,6
"265","Catfish","2019",13864,NA,"Wallis & Futuna",670,4180,6.24
"266","Catfish","2020",7799,NA,"Cook Islands",400,2611,6.53
"267","Catfish","2020",7799,NA,"French Polynesia",765,4129,5.4
"268","Catfish","2020",7799,NA,"New Caledonia",4210,21589,5.13
"269","Catfish","2020",7799,NA,"Papua New Guinea",1950,11088,5.69
"270","Catfish","2020",7799,NA,"Samoa",135,887,6.57222222222222
"271","Catfish","2020",7799,NA,"Wallis & Futuna",50,312,6.24
"272","Catfish","2021",13688,NA,"Cook Islands",50,230,4.6
"273","Catfish","2021",13688,NA,"Fiji",15,109,7.27
"274","Catfish","2021",13688,NA,"French Polynesia",2720,12693,4.67
"275","Catfish","2021",13688,NA,"Kiribati",0,0,NA
"276","Catfish","2021",13688,NA,"Nauru",200,1187,5.94
"277","Catfish","2021",13688,NA,"New Caledonia",3190,15889,4.98
"278","Catfish","2021",13688,NA,"Niue",10,70,7
"279","Catfish","2021",13688,NA,"Papua New Guinea",2200,12553,5.71
"280","Catfish","2021",13688,NA,"Samoa",8410,35269,4.19557669441142
"281","Catfish","2021",13688,NA,"Wallis & Futuna",190,921,4.85
"282","Catfish","2022",15189,NA,"Cook Islands",425,1891,4.45
"283","Catfish","2022",15189,NA,"Fiji",5,39,7.8
"284","Catfish","2022",15189,NA,"French Polynesia",1575,10386,6.59
"285","Catfish","2022",15189,NA,"Kiribati",325,2947,9.07
"286","Catfish","2022",15189,NA,"New Caledonia",3045,18846,6.19
"287","Catfish","2022",15189,NA,"Papua New Guinea",5130,43939,8.57
"288","Catfish","2022",15189,NA,"Samoa",6528,35518,5.43815257352941
"289","Catfish","2022",15189,NA,"Wallis & Futuna",110,664,6.04
"290","Cockles","2018",1220230,3214000,"Australia",38660,274525,7.105421624418
"291","Cockles","2018",1220230,3214000,"Japan",7488,35283,4.71
"292","Cockles","2018",1220230,3214000,"Singapore",200,1500,7.5
"293","Cockles","2018",1220230,3214000,"Taiwan",8100,61193,7.55
"294","Cockles","2018",1220230,3214000,"United Kingdom",25776,163183,6.33
"295","Cockles","2018",1220230,3214000,"United States",119377,1063957,8.91
"296","Cockles","2019",1194962,3214000,"Australia",200,1794,8.97
"297","Cockles","2019",1194962,3214000,"French Polynesia",200,1376,6.88
"298","Cockles","2019",1194962,3214000,"Malaysia",390,4709,12.07
"299","Cockles","2019",1194962,3214000,"Singapore",310,2345,7.56
"300","Cockles","2019",1194962,3214000,"United Kingdom",8946,62448,6.98
"301","Cockles","2019",1194962,3214000,"United States",234380,2158048,9.21
"302","Cockles","2020",1018773,3214000,"Australia",1800,15688,8.72
"303","Cockles","2020",1018773,3214000,"New Caledonia",15,2574,171.6
"304","Cockles","2020",1018773,3214000,"Singapore",300,2550,8.5
"305","Cockles","2020",1018773,3214000,"United States",140301,1043089,7.43947313276456
"306","Cockles","2021",1183033,3214000,"Australia",40,1122,28.05
"307","Cockles","2021",1183033,3214000,"French Polynesia",400,3726,9.32
"308","Cockles","2021",1183033,3214000,"Hong Kong",10,42,4.2
"309","Cockles","2021",1183033,3214000,"Malaysia",602,7525,12.5
"310","Cockles","2021",1183033,3214000,"Singapore",300,2535,8.45
"311","Cockles","2021",1183033,3214000,"United States",89215,610107,6.84
"312","Cockles","2022",1164397,3214000,"French Polynesia",500,5295,10.59
"313","Cockles","2022",1164397,3214000,"Malaysia",360,4500,12.5
"314","Cockles","2022",1164397,3214000,"Singapore",700,5950,8.5
"315","Cockles","2022",1164397,3214000,"United States",24643,206517,8.38
"316","Cockles",NA,0,NA,NA,NA,NA,NA
"317","Cod Fish","2018",5417736,10609992,"Australia",44448,689159,15.5057134179266
"318","Cod Fish","2018",5417736,10609992,"Belarus",25964,90689,3.49
"319","Cod Fish","2018",5417736,10609992,"Bulgaria",20524,57291,2.79262521925551
"320","Cod Fish","2018",5417736,10609992,"Canada",31,740,23.8722580645161
"321","Cod Fish","2018",5417736,10609992,"China",182992,395440,2.1575733911865
"322","Cod Fish","2018",5417736,10609992,"Fiji",4152,9508,2.29
"323","Cod Fish","2018",5417736,10609992,"France",33,33,0.998484848484849
"324","Cod Fish","2018",5417736,10609992,"French Polynesia",900,6864,7.63
"325","Cod Fish","2018",5417736,10609992,"Hong Kong",11751,163843,13.9443672878904
"326","Cod Fish","2018",5417736,10609992,"India",300,12045,40.15
"327","Cod Fish","2018",5417736,10609992,"Japan",30,2,0.07
"328","Cod Fish","2018",5417736,10609992,"Lithuania",56474,168304,2.97967276977016
"329","Cod Fish","2018",5417736,10609992,"Malaysia",22,117,5.31636363636364
"330","Cod Fish","2018",5417736,10609992,"Myanmar",35698,103586,2.9
"331","Cod Fish","2018",5417736,10609992,"Netherlands",2310,16824,7.28
"332","Cod Fish","2018",5417736,10609992,"New Caledonia",500,3994,7.99
"333","Cod Fish","2018",5417736,10609992,"Papua New Guinea",928,3799,4.09051724137931
"334","Cod Fish","2018",5417736,10609992,"Poland",75070,373222,4.97
"335","Cod Fish","2018",5417736,10609992,"Portugal",137701,408493,2.96901859826726
"336","Cod Fish","2018",5417736,10609992,"Russia",350709,1032124,2.94622772726106
"337","Cod Fish","2018",5417736,10609992,"Saudi Arabia",20,142,7.1
"338","Cod Fish","2018",5417736,10609992,"Singapore",3164,84198,26.611788874842
"339","Cod Fish","2018",5417736,10609992,"Solomon Islands",500,2939,5.88
"340","Cod Fish","2018",5417736,10609992,"Spain",17130,43883,2.56
"341","Cod Fish","2018",5417736,10609992,"Sweden",30,156,5.2
"342","Cod Fish","2018",5417736,10609992,"Taiwan",3810,30193,7.92
"343","Cod Fish","2018",5417736,10609992,"Thailand",160,2582,16.1365625
"344","Cod Fish","2018",5417736,10609992,"Ukraine",187496,443773,2.36579297691684
"345","Cod Fish","2018",5417736,10609992,"United Kingdom",35659,305308,8.5627050674444
"346","Cod Fish","2018",5417736,10609992,"United States",7381,41733,5.65258366075058
"347","Cod Fish","2018",5417736,10609992,"Uruguay",25270,165279,6.54
"348","Cod Fish","2018",5417736,10609992,"Vietnam",1224,5561,4.5437908496732
"349","Cod Fish","2019",4756254,10609992,"Australia",41889,517218,12.3461269068252
"350","Cod Fish","2019",4756254,10609992,"Belarus",67546,259494,3.84192194948628
"351","Cod Fish","2019",4756254,10609992,"Bulgaria",3339,9233,2.76848457622043
"352","Cod Fish","2019",4756254,10609992,"Cameroon",9306,13434,1.44
"353","Cod Fish","2019",4756254,10609992,"Canada",346,6646,19.2060115606936
"354","Cod Fish","2019",4756254,10609992,"China",113026,419715,3.71528683665705
"355","Cod Fish","2019",4756254,10609992,"Georgia",20,41,2.05
"356","Cod Fish","2019",4756254,10609992,"Germany",7962,61016,7.66234614418488
"357","Cod Fish","2019",4756254,10609992,"Hong Kong",10436,199393,19.1069423150632
"358","Cod Fish","2019",4756254,10609992,"Lithuania",18958,76086,4.01370186728558
"359","Cod Fish","2019",4756254,10609992,"Malaysia",13568,183233,13.5035259433962
"360","Cod Fish","2019",4756254,10609992,"Papua New Guinea",660,2410,3.65
"361","Cod Fish","2019",4756254,10609992,"Philippines",400,9922,24.81
"362","Cod Fish","2019",4756254,10609992,"Poland",1560,9480,6.08
"363","Cod Fish","2019",4756254,10609992,"Portugal",116350,381160,3.27868328319725
"364","Cod Fish","2019",4756254,10609992,"Russia",228574,828568,3.62700027124695
"365","Cod Fish","2019",4756254,10609992,"Samoa",20,399,19.95
"366","Cod Fish","2019",4756254,10609992,"Singapore",2206,61478,27.8706029011786
"367","Cod Fish","2019",4756254,10609992,"South Africa",300,1143,3.81
"368","Cod Fish","2019",4756254,10609992,"Switzerland",8,131,16.38
"369","Cod Fish","2019",4756254,10609992,"Thailand",830,12022,14.4843373493976
"370","Cod Fish","2019",4756254,10609992,"Ukraine",312557,989000,3.16260806828834
